Name,SMILES,Activation Status
(±)-citronellal,CC(CCC=C(C)C)CC=O,
citral,CC(=CCC/C(=C/C=O)/C)C,
(S)-(-)-citronellal,C[C@@H](CCC=C(C)C)CC=O,
4-Decenal,CCCCC/C=C/CCC=O,
musk xylol,CC1=C(C(=C(C(=C1[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)[N+](=O)[O-],
celestolide,CC(=O)C1=C2CCC(C2=CC(=C1)C(C)(C)C)(C)C,
Musk ambrette,CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-],
Butyl anthranilate,CCCCOC(=O)C1=CC=CC=C1N,
Amyl Butyrate,CCCCCOC(=O)CCC,
Thymol,CC1=CC(=C(C=C1)C(C)C)O,
2-Ethylphenol,CCC1=CC=CC=C1O,
Methyl isoeugenol,C/C=C/C1=CC(=C(C=C1)OC)OC,
p-Tolyl isobutyrate,CC1=CC=C(C=C1)OC(=O)C(C)C,
Propiophenone,CCC(=O)C1=CC=CC=C1,
Musk Tibetene,CC1=C(C(=C(C(=C1C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C,
3-phenylpropylpropionate,CCC(=O)OCCCC1=CC=CC=C1,
shoyu pyrazine,CCC1=NC=CN=C1CC,
Bourgeonal,CC(C)(C)C1=CC=C(C=C1)CCC=O,
androstadienone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CCC4=CC(=O)CC[C@]34C,
Cinnamaldehyde,C1=CC=C(C=C1)/C=C/C=O,
(-)-b-Citronellol,C[C@@H](CCC=C(C)C)CCO,
1-Decanol,CCCCCCCCCCO,
1-Heptanol,CCCCCCCO,
2-Octanone,CCCCCCC(=O)C,
3-Heptanone,CCCCC(=O)CC,
3-Octanone,CCCCCC(=O)CC,
4-Chromanone,C1COC2=CC=CC=C2C1=O,
Allyl heptanoate,CCCCCCC(=O)OCC=C,
Benzophenone,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,
Benzyl acetate,CC(=O)OCC1=CC=CC=C1,
2-bromooctanoic-acid,CCCCCCC(C(=O)O)Br,
Bromobutyric acid,CCC(C(=O)O)Br,
4-Vinylphenol,C=CC1=CC=C(C=C1)O,
Farnesol,CC(=CCC/C(=C/CC/C(=C/CO)/C)/C)C,
"1,4-cineole",CC(C)C12CCC(O1)(CC2)C,
"1,2-dichloro-ethylene",C(=CCl)Cl,
Raspberry ketone,CC(=O)CCC1=CC=C(C=C1)O,
2-bromovaleric acid,CCCC(C(=O)O)Br,
"2,3-dimethylpyrazine",CC1=NC=CN=C1C,
Dimethyl Sulfoxide,CS(=O)C,
Citral dimethyl-acetal,CC(=CCC/C(=C/C(OC)OC)/C)C,
Trimethylamine,CN(C)C,
(+)-2-Phenylbutyric acid,CC[C@@H](C1=CC=CC=C1)C(=O)O,
(+)-Camphor,C[C@@]12CC[C@@H](C1(C)C)CC2=O,
(+)-Fenchone,C[C@]12CC[C@H](C1)C(C2=O)(C)C,
(-)-2-Phenylbutyric acid,CC[C@H](C1=CC=CC=C1)C(=O)O,
(-)-Camphor,C[C@]12CC[C@H](C1(C)C)CC2=O,
(-)-Fenchone,C[C@@]12CC[C@@H](C1)C(C2=O)(C)C,
1-Hexanol,CCCCCCO,
1-Nonanol,CCCCCCCCCO,
1-Pentanol,CCCCCO,
2-Coumaranone,C1C2=CC=CC=C2OC1=O,
2-Hexanone,CCCCC(=O)C,
2-Pentanone,CCCC(=O)C,
"2,3-Hexanedione",CCCC(=O)C(=O)C,
"3,4-Hexanedione",CCC(=O)C(=O)CC,
4-Hydroxycoumarin,C1=CC=C2C(=C1)C(=CC(=O)O2)O,
